epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3250.45,1.2569,0.91314,1.49634,0.60656,0.55716,0.56498,0.25639,1.46245,0.9504,1.94418,0.000391113,0.000391113,0.000391113
74,3294.27,1.18632,0.88523,1.47815,0.64249,0.59663,0.59047,0.26342,1.41382,0.9644,1.89626,0.00037748,0.00037748,0.00037748
75,3337.73,1.15621,0.86151,1.47336,0.6834,0.56213,0.58649,0.25506,1.48873,0.94769,1.96116,0.000363972,0.000363972,0.000363972
76,3381.39,1.19124,0.8528,1.4606,0.63319,0.55474,0.57181,0.25896,1.45137,1.00825,1.9324,0.0003506,0.0003506,0.0003506
77,3424.76,1.18752,0.85111,1.45733,0.66658,0.58006,0.59768,0.26058,1.43695,0.91666,1.91846,0.000337372,0.000337372,0.000337372
78,3468.18,1.14859,0.79968,1.44573,0.65305,0.5924,0.60377,0.25181,1.45756,0.95119,1.93926,0.000324298,0.000324298,0.000324298
79,3512.13,1.22036,0.89807,1.4686,0.63111,0.59822,0.60522,0.26208,1.43058,0.93524,1.91751,0.000311385,0.000311385,0.000311385
80,3555.85,1.17726,0.85247,1.45971,0.68165,0.58975,0.61381,0.26937,1.42488,0.90905,1.92296,0.000298644,0.000298644,0.000298644
81,3599.55,1.10067,0.78068,1.45776,0.64208,0.57772,0.59799,0.26759,1.42681,0.87994,1.91436,0.000286083,0.000286083,0.000286083
82,3643.34,1.15805,0.81138,1.44026,0.61541,0.62139,0.60365,0.26493,1.43349,0.91153,1.92366,0.00027371,0.00027371,0.00027371
83,3687.03,1.14754,0.82837,1.43086,0.56778,0.62156,0.56948,0.26238,1.41784,0.88983,1.92444,0.000261533,0.000261533,0.000261533
84,3730.7,1.14547,0.8097,1.41436,0.6827,0.55193,0.59886,0.25384,1.44991,0.89332,1.96402,0.000249563,0.000249563,0.000249563
85,3774.33,1.13143,0.80715,1.42959,0.64118,0.59284,0.59303,0.26296,1.42515,0.89057,1.93095,0.000237805,0.000237805,0.000237805
86,3818.04,1.14405,0.81506,1.431,0.68248,0.60486,0.59101,0.25586,1.46165,0.89389,1.97679,0.00022627,0.00022627,0.00022627
87,3861.77,1.08107,0.78308,1.40525,0.60521,0.5635,0.57012,0.24974,1.44505,0.90974,1.95119,0.000214963,0.000214963,0.000214963
88,3905.42,1.09404,0.79694,1.40129,0.60598,0.61825,0.59792,0.25605,1.45383,0.88636,1.96294,0.000203894,0.000203894,0.000203894
89,3948.86,1.13786,0.80108,1.42685,0.53446,0.6296,0.59213,0.25525,1.43776,0.88895,1.94474,0.00019307,0.00019307,0.00019307
90,3992.45,1.10942,0.79897,1.41098,0.72744,0.60645,0.61186,0.2693,1.438,0.87259,1.96275,0.000182498,0.000182498,0.000182498
91,4036.28,1.12937,0.78931,1.42262,0.67866,0.60293,0.61135,0.26727,1.42576,0.86593,1.93975,0.000172185,0.000172185,0.000172185
92,4079.4,1.07558,0.73943,1.38023,0.67521,0.57052,0.59895,0.2573,1.42603,0.89602,1.94176,0.000162139,0.000162139,0.000162139
93,4123.15,1.07809,0.75134,1.39643,0.66822,0.5748,0.59156,0.26134,1.42482,0.87353,1.96029,0.000152366,0.000152366,0.000152366
94,4166.81,1.10695,0.77738,1.40934,0.64324,0.64269,0.6093,0.26089,1.42128,0.87197,1.95078,0.000142874,0.000142874,0.000142874
95,4210.51,1.06406,0.75294,1.36962,0.73681,0.60281,0.62609,0.26765,1.41636,0.86159,1.95131,0.000133667,0.000133667,0.000133667
96,4254.42,1.04632,0.78865,1.3581,0.67668,0.59677,0.60893,0.26392,1.40838,0.86842,1.92772,0.000124754,0.000124754,0.000124754
97,4298.28,1.0305,0.71229,1.37993,0.6562,0.60701,0.60935,0.26409,1.41033,0.88838,1.94276,0.00011614,0.00011614,0.00011614
98,4342.3,1.01658,0.71678,1.36217,0.67968,0.56502,0.6066,0.26498,1.42693,0.87439,1.95709,0.000107831,0.000107831,0.000107831
99,4385.48,1.08232,0.75745,1.3897,0.61719,0.64089,0.6155,0.26788,1.42542,0.8605,1.95355,9.98323e-05,9.98323e-05,9.98323e-05
100,4428.91,1.05346,0.73712,1.36862,0.63676,0.58645,0.60264,0.2629,1.44119,0.87226,1.96474,9.21498e-05,9.21498e-05,9.21498e-05
101,4472.84,1.04387,0.72212,1.35128,0.68679,0.6092,0.62003,0.2679,1.40809,0.85628,1.94732,8.47887e-05,8.47887e-05,8.47887e-05
102,4516.62,1.0136,0.69157,1.36263,0.60084,0.63934,0.61508,0.26381,1.42312,0.85014,1.96072,7.77539e-05,7.77539e-05,7.77539e-05
103,4560.36,1.11529,0.74357,1.36766,0.62622,0.61447,0.59449,0.26167,1.43043,0.84393,1.95658,7.10504e-05,7.10504e-05,7.10504e-05
104,4604.3,1.06466,0.73529,1.34226,0.5908,0.64019,0.60553,0.26296,1.4209,0.8326,1.95864,6.46827e-05,6.46827e-05,6.46827e-05
105,4647.97,1.0141,0.70523,1.35421,0.70657,0.57573,0.60254,0.25792,1.4317,0.84476,1.96081,5.86552e-05,5.86552e-05,5.86552e-05
106,4687.77,0.88402,0.5631,1.29689,0.66557,0.54699,0.57716,0.26036,1.42143,0.86678,1.95448,5.29721e-05,5.29721e-05,5.29721e-05
107,4727.59,0.83993,0.51309,1.26671,0.62493,0.58433,0.58255,0.26411,1.40975,0.85659,1.95801,4.76371e-05,4.76371e-05,4.76371e-05
108,4767.31,0.84855,0.49761,1.27911,0.67742,0.58653,0.59818,0.26754,1.40389,0.85379,1.95628,4.2654e-05,4.2654e-05,4.2654e-05
109,4806.95,0.84056,0.51188,1.26496,0.6792,0.59641,0.60634,0.26587,1.4042,0.84283,1.95691,3.80262e-05,3.80262e-05,3.80262e-05
110,4846.69,0.8612,0.51477,1.32434,0.67216,0.59668,0.60382,0.26732,1.4004,0.84211,1.95171,3.37569e-05,3.37569e-05,3.37569e-05
