epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1319.11,0.96303,0.58987,1.15045,0.77838,0.66521,0.6717,0.34916,1.34673,0.74821,1.63238,0.0002773,0.0002773,0.0002773
75,1336.85,0.95474,0.54934,1.13327,0.75486,0.70656,0.69141,0.35437,1.37139,0.75841,1.68789,0.0002674,0.0002674,0.0002674
76,1354.37,0.94976,0.5632,1.16499,0.74286,0.68199,0.66613,0.34447,1.38118,0.70926,1.68986,0.0002575,0.0002575,0.0002575
77,1372.21,0.95523,0.56885,1.14324,0.74549,0.67929,0.67265,0.34104,1.38551,0.71267,1.69368,0.0002476,0.0002476,0.0002476
78,1389.86,0.90316,0.52971,1.12795,0.75207,0.69463,0.68357,0.34701,1.3755,0.71972,1.66668,0.0002377,0.0002377,0.0002377
79,1407.39,0.92628,0.57972,1.15059,0.76411,0.68282,0.67899,0.35109,1.4086,0.71322,1.68809,0.0002278,0.0002278,0.0002278
80,1425.12,0.8585,0.51437,1.10913,0.74768,0.6783,0.66487,0.34225,1.38943,0.76829,1.68653,0.0002179,0.0002179,0.0002179
81,1442.65,0.84831,0.49871,1.11421,0.75092,0.68962,0.66955,0.34533,1.35225,0.73112,1.66414,0.000208,0.000208,0.000208
82,1459.96,0.82801,0.48723,1.08075,0.76037,0.69126,0.67495,0.34858,1.36308,0.75628,1.67994,0.0001981,0.0001981,0.0001981
83,1477.48,0.89868,0.5095,1.12201,0.73162,0.67728,0.66474,0.33963,1.37959,0.7545,1.72702,0.0001882,0.0001882,0.0001882
84,1494.9,0.85319,0.52767,1.10393,0.75677,0.68744,0.67545,0.34304,1.38358,0.76279,1.71556,0.0001783,0.0001783,0.0001783
85,1512.43,0.87105,0.53061,1.10515,0.77714,0.68327,0.67441,0.34451,1.37501,0.78492,1.7126,0.0001684,0.0001684,0.0001684
86,1529.91,0.87568,0.55082,1.08848,0.75585,0.68524,0.67277,0.34203,1.40004,0.72825,1.71915,0.0001585,0.0001585,0.0001585
87,1547.4,0.84742,0.49412,1.09744,0.75495,0.6896,0.68128,0.34988,1.36503,0.7158,1.70057,0.0001486,0.0001486,0.0001486
88,1564.97,0.8201,0.4794,1.10386,0.81767,0.66382,0.67696,0.34584,1.35484,0.70483,1.70886,0.0001387,0.0001387,0.0001387
89,1582.49,0.87009,0.51305,1.11399,0.7962,0.66171,0.6653,0.34658,1.37897,0.71407,1.72106,0.0001288,0.0001288,0.0001288
90,1599.86,0.83725,0.4812,1.11886,0.78058,0.66074,0.66733,0.34743,1.37489,0.72367,1.71438,0.0001189,0.0001189,0.0001189
91,1616.18,0.77535,0.42852,1.05034,0.71949,0.7107,0.67258,0.34542,1.39211,0.69952,1.73159,0.000109,0.000109,0.000109
92,1632.51,0.74164,0.39024,1.04561,0.73292,0.69031,0.66482,0.3445,1.36714,0.70986,1.70904,9.91e-05,9.91e-05,9.91e-05
93,1648.8,0.72058,0.38645,1.0444,0.74799,0.70533,0.67861,0.35104,1.37555,0.68297,1.7265,8.92e-05,8.92e-05,8.92e-05
94,1665.09,0.68746,0.37715,1.00576,0.81234,0.67044,0.68898,0.35623,1.36127,0.67139,1.71861,7.93e-05,7.93e-05,7.93e-05
95,1681.43,0.70541,0.37074,1.02781,0.80452,0.65348,0.67971,0.35253,1.35711,0.69413,1.72162,6.94e-05,6.94e-05,6.94e-05
96,1697.76,0.68817,0.3689,1.01068,0.80212,0.65671,0.6733,0.34979,1.35907,0.69142,1.73125,5.95e-05,5.95e-05,5.95e-05
97,1714.03,0.68465,0.36967,1.01328,0.81833,0.67092,0.68446,0.35008,1.35171,0.68347,1.73154,4.96e-05,4.96e-05,4.96e-05
98,1730.36,0.69988,0.37833,1.01591,0.77501,0.6769,0.67341,0.34529,1.3472,0.69056,1.7253,3.97e-05,3.97e-05,3.97e-05
99,1746.67,0.73622,0.44404,1.03917,0.75752,0.69024,0.67628,0.34708,1.34729,0.68365,1.73504,2.98e-05,2.98e-05,2.98e-05
100,1762.94,0.65082,0.36212,0.9762,0.75889,0.68405,0.67331,0.3524,1.34392,0.6824,1.73429,1.99e-05,1.99e-05,1.99e-05
