epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1173.61,1.08566,0.7453,1.30094,0.78672,0.67812,0.71193,0.35827,1.27052,0.80703,1.60092,0.000718641,0.000718641,0.000718641
64,1192.09,1.13314,0.77954,1.31422,0.84542,0.69485,0.75547,0.3594,1.31818,0.83832,1.65254,0.000699244,0.000699244,0.000699244
65,1210.1,1.10616,0.74062,1.28491,0.74228,0.73463,0.741,0.36639,1.25113,0.76913,1.58545,0.000679888,0.000679888,0.000679888
66,1228.1,1.06499,0.72969,1.2908,0.83163,0.69055,0.74069,0.38547,1.2486,0.74255,1.59136,0.000660584,0.000660584,0.000660584
67,1246.43,1.10095,0.74772,1.28771,0.82999,0.70618,0.7465,0.37445,1.28074,0.78964,1.6155,0.000641347,0.000641347,0.000641347
68,1264.64,1.10282,0.80197,1.33041,0.82547,0.69827,0.7549,0.39287,1.26878,0.7682,1.57389,0.00062219,0.00062219,0.00062219
69,1282.81,1.08588,0.73214,1.29916,0.82485,0.68845,0.72718,0.35232,1.27842,0.76611,1.61074,0.000603126,0.000603126,0.000603126
70,1300.97,1.02651,0.66928,1.2678,0.82367,0.66968,0.7448,0.36793,1.27512,0.78368,1.59651,0.000584167,0.000584167,0.000584167
71,1319.25,1.05257,0.70145,1.26594,0.74264,0.73723,0.74762,0.36614,1.30049,0.76863,1.60468,0.000565327,0.000565327,0.000565327
72,1337.5,1.06279,0.70608,1.26764,0.76265,0.7606,0.74301,0.35936,1.28578,0.74272,1.61885,0.000546619,0.000546619,0.000546619
73,1355.73,1.06301,0.71565,1.28744,0.81862,0.70118,0.7503,0.37743,1.26284,0.73692,1.60579,0.000528055,0.000528055,0.000528055
74,1373.93,1.02287,0.68343,1.25948,0.74329,0.73262,0.72461,0.34561,1.27786,0.75707,1.62201,0.000509648,0.000509648,0.000509648
75,1392.2,1.02823,0.69711,1.26998,0.75799,0.74705,0.7436,0.34466,1.33763,0.77717,1.66707,0.000491412,0.000491412,0.000491412
76,1410.51,1.02537,0.70007,1.25754,0.81515,0.70212,0.76386,0.36073,1.27955,0.75791,1.62832,0.000473358,0.000473358,0.000473358
77,1428.84,1.00884,0.69642,1.25304,0.84806,0.67485,0.74768,0.36749,1.28368,0.76389,1.64142,0.000455498,0.000455498,0.000455498
78,1446.84,0.96906,0.63762,1.23444,0.82335,0.74717,0.76615,0.38273,1.2794,0.73452,1.61102,0.000437846,0.000437846,0.000437846
79,1465.45,1.02269,0.67192,1.26348,0.82549,0.75356,0.7665,0.38469,1.24712,0.7071,1.56191,0.000420412,0.000420412,0.000420412
80,1483.7,1.01622,0.66417,1.24179,0.75771,0.74886,0.75551,0.37508,1.29697,0.78182,1.6405,0.00040321,0.00040321,0.00040321
81,1501.81,0.96866,0.6207,1.20704,0.79323,0.76181,0.75425,0.37346,1.29489,0.75161,1.62995,0.00038625,0.00038625,0.00038625
82,1520.13,0.98158,0.65018,1.23397,0.81687,0.68871,0.73976,0.37965,1.25539,0.74134,1.59721,0.000369545,0.000369545,0.000369545
83,1538.14,0.99185,0.62891,1.19901,0.7992,0.73959,0.75806,0.3853,1.22073,0.71676,1.57052,0.000353106,0.000353106,0.000353106
84,1556.22,1.01525,0.68031,1.2705,0.75215,0.71483,0.73697,0.37356,1.27835,0.73862,1.61747,0.000336943,0.000336943,0.000336943
85,1574.47,0.97291,0.63778,1.2298,0.79619,0.76054,0.76602,0.38305,1.25027,0.72958,1.58279,0.000321069,0.000321069,0.000321069
86,1592.71,1.00396,0.63092,1.26396,0.75475,0.7393,0.73037,0.37504,1.25826,0.72919,1.58363,0.000305495,0.000305495,0.000305495
87,1610.79,0.93792,0.60944,1.18311,0.81428,0.69244,0.73986,0.37005,1.24982,0.73602,1.59225,0.00029023,0.00029023,0.00029023
88,1629.03,0.98662,0.64016,1.2144,0.78654,0.75254,0.75354,0.3812,1.23605,0.72308,1.59412,0.000275285,0.000275285,0.000275285
89,1647.31,0.98578,0.68488,1.2185,0.80967,0.7359,0.7558,0.37503,1.24557,0.73205,1.5928,0.000260671,0.000260671,0.000260671
